Day,Time,Arena,Sex,Treatment,Soc_index,ExperimentalBlock,Strain_ID
2,1,9,Female,RNAi,1.775510204,A,50893
2,5,10,Male,RNAi,1.714285714,A,50893
2,2,10,Male,RNAi,2,A,50893
2,3,10,Male,RNAi,1.428571429,A,50893
2,4,10,Male,RNAi,0.571428571,A,50893
2,1,10,Male,RNAi,2,A,50893
2,2,11,Male,Control,2,A,50893
2,5,11,Male,Control,4.285714286,A,50893
2,4,11,Male,Control,1.714285714,A,50893
2,1,11,Male,Control,1.428571429,A,50893
2,3,11,Male,Control,1.428571429,A,50893
2,4,12,Female,Control,8,A,50893
2,5,12,Female,Control,8,A,50893
2,2,12,Female,Control,3.714285714,A,50893
2,3,12,Female,Control,6,A,50893
2,1,12,Female,Control,4.285714286,A,50893
2,3,13,Male,RNAi,1.142857143,A,50893
2,4,13,Male,RNAi,1.714285714,A,50893
2,5,13,Male,RNAi,0.857142857,A,50893
2,2,13,Male,RNAi,0.857142857,A,50893
2,1,13,Male,RNAi,1.714285714,A,50893
2,3,14,Male,Control,2.102040816,A,50893
2,4,14,Male,Control,1.775510204,A,50893
2,2,14,Male,Control,3.408163265,A,50893
2,5,14,Male,Control,2.102040816,A,50893
2,1,14,Male,Control,0.795918367,A,50893
2,4,15,Female,Control,6,A,50893
2,2,15,Female,Control,6,A,50893
2,5,15,Female,Control,8,A,50893
2,3,15,Female,Control,6,A,50893
2,1,15,Female,Control,6,A,50893
2,5,16,Female,RNAi,2,A,50893
2,3,16,Female,RNAi,2.285714286,A,50893
2,1,16,Female,RNAi,6,A,50893
2,4,16,Female,RNAi,2,A,50893
2,2,16,Female,RNAi,3.142857143,A,50893
2,4,17,Female,RNAi,8,A,50893
2,2,17,Female,RNAi,8,A,50893
2,5,17,Female,RNAi,6,A,50893
2,3,17,Female,RNAi,8,A,50893
2,1,17,Female,RNAi,6,A,50893
2,2,18,Female,Control,2.285714286,A,50893
2,3,18,Female,Control,2.571428571,A,50893
2,1,18,Female,Control,3.714285714,A,50893
2,4,18,Female,Control,6,A,50893
2,5,18,Female,Control,4.571428571,A,50893
2,2,19,Male,RNAi,1.428571429,A,50893
2,3,19,Male,RNAi,3.142857143,A,50893
2,1,19,Male,RNAi,1.428571429,A,50893
2,4,19,Male,RNAi,0.857142857,A,50893
2,5,19,Male,RNAi,1.142857143,A,50893
2,2,20,Male,Control,3.142857143,A,50893
2,3,20,Male,Control,6,A,50893
2,1,20,Male,Control,2.571428571,A,50893
2,4,20,Male,Control,2.857142857,A,50893
2,5,20,Male,Control,8,A,50893
2,2,21,Male,Control,3.408163265,A,50893
2,3,21,Male,Control,1.448979592,A,50893
2,4,21,Male,Control,2.428571429,A,50893
2,1,21,Male,Control,2.102040816,A,50893
2,5,21,Male,Control,2.428571429,A,50893
2,2,22,Male,RNAi,2.285714286,A,50893
2,1,22,Male,RNAi,2,A,50893
2,4,22,Male,RNAi,2.285714286,A,50893
2,3,22,Male,RNAi,4.571428571,A,50893
2,5,22,Male,RNAi,1.142857143,A,50893
2,3,24,Female,RNAi,2.428571429,A,50893
2,2,24,Female,RNAi,3.734693878,A,50893
2,4,24,Female,RNAi,2.428571429,A,50893
2,1,24,Female,RNAi,2.102040816,A,50893
2,5,24,Female,RNAi,1.775510204,A,50893
2,1,25,Female,RNAi,2.571428571,A,50893
2,2,25,Female,RNAi,2.571428571,A,50893
2,3,25,Female,RNAi,3.142857143,A,50893
2,4,25,Female,RNAi,3.142857143,A,50893
2,5,25,Female,RNAi,2.571428571,A,50893
2,1,26,Male,RNAi,4.571428571,A,50893
2,5,26,Male,RNAi,2,A,50893
2,2,26,Male,RNAi,1.714285714,A,50893
